pseudoID,course_data,course_num,year,quarter_num,quarter_text,section
A4602376104,20164-33001-02,33001,2016,4,Autumn,2
A4602376104,20164-41000-01,41000,2016,4,Autumn,1
A4602376104,20164-42001-02,42001,2016,4,Autumn,2
A4602376104,20171-30000-01,30000,2017,1,Winter,1
A4602376104,20171-38003-81,38003,2017,1,Winter,81
A4602376104,20171-40000-02,40000,2017,1,Winter,2
A19032772384,20164-30000-04,30000,2016,4,Autumn,4
A19032772384,20164-33001-02,33001,2016,4,Autumn,2
A19032772384,20164-41000-05,41000,2016,4,Autumn,5
A19032772384,20171-33503-02,33503,2017,1,Winter,2
A19032772384,20171-35000-01,35000,2017,1,Winter,1
A19032772384,20171-40000-02,40000,2017,1,Winter,2
A19032772384,20171-42001-02,42001,2017,1,Winter,2
A420237636,20164-30116-01,30116,2016,4,Autumn,1
A420237636,20164-33001-02,33001,2016,4,Autumn,2
A420237636,20164-35200-01,35200,2016,4,Autumn,1
A420237636,20164-42001-02,42001,2016,4,Autumn,2
A420237636,20171-35210-01,35210,2017,1,Winter,1
A420237636,20171-35215-01,35215,2017,1,Winter,1
A420237636,20171-41203-01,41203,2017,1,Winter,1
A5402988125,20164-30000-06,30000,2016,4,Autumn,6
A5402988125,20164-33001-03,33001,2016,4,Autumn,3
A5402988125,20164-39001-02,39001,2016,4,Autumn,2
A5402988125,20171-35000-04,35000,2017,1,Winter,4
A5402988125,20171-38001-02,38001,2017,1,Winter,2
A5402988125,20171-42001-02,42001,2017,1,Winter,2
A5282592540,20164-30130-81,30130,2016,4,Autumn,81
A5282592540,20164-36106-01,36106,2016,4,Autumn,1
A5282592540,20164-41100-04,41100,2016,4,Autumn,4
A5282592540,20171-30118-02,30118,2017,1,Winter,2
A5282592540,20171-35201-82,35201,2017,1,Winter,82
A5282592540,20171-35214-01,35214,2017,1,Winter,1
A1014003818828,20164-38001-01,38001,2016,4,Autumn,1
A1014003818828,20164-41301-01,41301,2016,4,Autumn,1
A1014003818828,20164-42001-03,42001,2016,4,Autumn,3
A1014003818828,20171-37100-01,37100,2017,1,Winter,1
A1014003818828,20171-37105-01,37105,2017,1,Winter,1
A1014003818828,20171-40110-81,40110,2017,1,Winter,81
A1014003818828,20171-42117-02,42117,2017,1,Winter,2
A7863132176,20164-30000-06,30000,2016,4,Autumn,6
A7863132176,20164-33001-05,33001,2016,4,Autumn,5
A7863132176,20164-41000-03,41000,2016,4,Autumn,3
A7863132176,20171-35000-05,35000,2017,1,Winter,5
A7863132176,20171-37100-01,37100,2017,1,Winter,1
A7863132176,20171-40101-01,40101,2017,1,Winter,1
A105903956512,20164-30000-03,30000,2016,4,Autumn,3
A105903956512,20164-33101-81,33101,2016,4,Autumn,81
A105903956512,20164-41000-03,41000,2016,4,Autumn,3
A105903956512,20171-30116-01,30116,2017,1,Winter,1
A105903956512,20171-35000-01,35000,2017,1,Winter,1
A105903956512,20171-35200-02,35200,2017,1,Winter,2
A105903956512,20171-42001-02,42001,2017,1,Winter,2
A1025238640,20164-38001-01,38001,2016,4,Autumn,1
A1025238640,20164-41000-05,41000,2016,4,Autumn,5
A1025238640,20164-42001-02,42001,2016,4,Autumn,2
A1025238640,20171-30000-01,30000,2017,1,Winter,1
A1025238640,20171-34106-01,34106,2017,1,Winter,1
A1025238640,20171-37000-01,37000,2017,1,Winter,1
A106723312360,20164-30116-01,30116,2016,4,Autumn,1
A106723312360,20164-34106-81,34106,2016,4,Autumn,81
A106723312360,20164-35200-01,35200,2016,4,Autumn,1
A106723312360,20171-30118-02,30118,2017,1,Winter,2
A106723312360,20171-30130-02,30130,2017,1,Winter,2
A106723312360,20171-35201-02,35201,2017,1,Winter,2
A106723312360,20171-42001-03,42001,2017,1,Winter,3
A106163082105,20164-30000-01,30000,2016,4,Autumn,1
A106163082105,20164-33002-01,33002,2016,4,Autumn,1
A106163082105,20164-37000-04,37000,2016,4,Autumn,4
A106163082105,20164-41000-04,41000,2016,4,Autumn,4
A106163082105,20171-37201-81,37201,2017,1,Winter,81
A106163082105,20171-38001-01,38001,2017,1,Winter,1
A106163082105,20171-42001-02,42001,2017,1,Winter,2
A107084140140,20164-30116-01,30116,2016,4,Autumn,1
A107084140140,20164-33001-05,33001,2016,4,Autumn,5
A107084140140,20164-41000-05,41000,2016,4,Autumn,5
A107084140140,20171-30118-02,30118,2017,1,Winter,2
A107084140140,20171-35000-01,35000,2017,1,Winter,1
A107084140140,20171-42001-01,42001,2017,1,Winter,1
A110262775672,20164-30000-06,30000,2016,4,Autumn,6
A110262775672,20164-33001-02,33001,2016,4,Autumn,2
A110262775672,20164-35000-01,35000,2016,4,Autumn,1
A110262775672,20164-41000-05,41000,2016,4,Autumn,5
A110262775672,20171-30118-01,30118,2017,1,Winter,1
A110262775672,20171-35200-01,35200,2017,1,Winter,1
A110262775672,20171-42001-02,42001,2017,1,Winter,2
A1110993478415,20164-30000-04,30000,2016,4,Autumn,4
